,Erro y=0.00,Erro y=0.02,Erro y=0.04,Erro y=0.06,Erro y=0.08,Erro y=0.10,Erro y=0.12,Erro y=0.14,Erro y=0.16,Erro y=0.18,Erro y=0.20,Erro y=0.22,Erro y=0.24,Erro y=0.25,Erro y=0.27,Erro y=0.29,Erro y=0.31,Erro y=0.33,Erro y=0.35,Erro y=0.37,Erro y=0.39,Erro y=0.41,Erro y=0.43,Erro y=0.45,Erro y=0.47,Erro y=0.49,Erro y=0.51,Erro y=0.53,Erro y=0.55,Erro y=0.57,Erro y=0.59,Erro y=0.61,Erro y=0.63,Erro y=0.65,Erro y=0.67,Erro y=0.69,Erro y=0.71,Erro y=0.73,Erro y=0.75,Erro y=0.76,Erro y=0.78,Erro y=0.80,Erro y=0.82,Erro y=0.84,Erro y=0.86,Erro y=0.88,Erro y=0.90,Erro y=0.92,Erro y=0.94,Erro y=0.96,Erro y=0.98
x=0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x=0.02,0.01999866669333308,0.5785082137351407,0.6849731256664483,0.6839802143292208,0.6606392956490164,0.6362751353560397,0.6158741975249207,0.6001444866907227,0.5887191140664549,0.5810301826713145,0.5765411530477516,0.5747974153512508,0.5754261834982017,0.5781242210744925,0.5826445936908885,0.5887853494298647,0.5963805279478552,0.6052932109047318,0.615410203807308,0.6266379803916924,0.6388995964080845,0.6521323512664847,0.666286034314704,0.6813216377276045,0.6972104527077155,0.7139334927913408,0.7314812100346789,0.749853488852609,0.7690599201905405,0.7891203773893495,0.8100659366507368,0.8319402121080491,0.8548012119503701,0.8787238735894966,0.9038035116625118,0.9301605278849993,0.9579469123642199,0.9873553579329859,1.0186322968930925,1.0520970150187479,1.0881705247448257,1.1274207713711129,1.1706365304939843,1.218954680740598,1.2740937836108768,1.3388171800008126,1.417940055430486,1.520766222410169,1.6677107323138836,1.910529331484908,0.01080532572869623
x=0.04,0.03998933418663416,1.5890304049532828,1.4373667697424781,1.33028049829913,1.2423072727398998,1.16865786236819,1.1072533268017408,1.0563140664900603,1.0142403571572751,0.9796719552052656,0.9514931001975755,0.9288025401974761,0.9108748072164208,0.8971244712132397,0.8870767400422768,0.8803444166803547,0.8766102016732122,0.8756132008390912,0.8771386547812934,0.8810101177597955,0.8870835037942562,0.8952425701984695,0.9053955251956504,0.9174725340599018,0.9314239648125767,0.9472192661764974,0.9648464123205066,0.9843118850311747,1.00564119790172,1.0288800023916091,1.0540958560222269,1.0813807833747289,1.1108548276877135,1.142670884773752,1.1770212474219646,1.21414649294588,1.2543476617390499,1.2980031740842168,1.3455927463612727,1.3977319347430672,1.4552233053976853,1.5191344863865908,1.5909212761990024,1.6726292552070734,1.767237733615211,1.8792714903698733,2.015929153117351,2.189200648551079,2.4196914094689195,2.742078956326728,0.02160632947117007
x=0.06,0.059964006479444595,2.4008197087783913,2.1451191193613903,1.957387870716053,1.8095556659403893,1.6886840811444042,1.5880397273172007,1.5034748727076965,1.4320973584554317,1.371749598145572,1.3207665912837776,1.2778391746238094,1.2419249504737182,1.2121857013849682,1.1879418263609696,1.1686385869210922,1.1538208428511623,1.1431140006269214,1.1362095630431421,1.132854124699791,1.1328409802208124,1.1360037430256031,1.1422115398338912,1.151365469028415,1.16339610314178,1.178261886924068,1.1959483400067537,1.2164680228150635,1.2398612709183254,1.2661977510166873,1.295578946198855,1.328141745067241,1.3640633970881177,1.4035682170884658,1.4469365933973173,1.4945171052238078,1.546742931207497,1.604154307555677,1.6674296956249373,1.7374297562888772,1.8152605619632267,1.9023663192557452,2.0006682423170035,2.112776669441521,2.2423199246564285,2.394455848928659,2.576649065509353,2.799751411940414,3.0791021245077235,3.434141476585691,0.032398690969935987
x=0.08,0.0799146939691727,3.0892973786083684,2.7848222630730617,2.5445004310936143,2.3497318062633896,2.188355615977576,2.0526034065437413,1.9372894046868319,1.838750023691313,1.7542723271098568,1.6817788292937843,1.619641533581893,1.5665637040575342,1.5214999057887264,1.4835994889585724,1.452165443932864,1.4266238473257382,1.4065008626079263,1.3914052651986328,1.3810150876883134,1.3750673923508203,1.3733504599688529,1.3756978831017275,1.381984196400616,1.3921217844270586,1.4060588908161773,1.4237786202056022,1.4452988826967765,1.470673285166178,1.4999930295423896,1.5333899405274127,1.5710408204894546,1.6131734256418269,1.6600744866203105,1.7121003747690822,1.7696912674114469,1.8333900279782436,1.903867545614163,1.981957056789168,2.068701119465065,2.1654165939743293,2.2737853963439263,2.395982043911328,2.534852775332806,2.694163401178817,2.8789275629183066,3.0957954511233106,3.3533806333487366,3.662142514535381,4.032940753626989,0.04317809342429073
x=0.10,0.09983341664682815,3.690812811027929,3.360276355592369,3.0859481519574303,2.856388059600903,2.6622599484204117,2.496569944844426,2.3541547342162916,2.2311508445158026,2.124605194963845,2.032213782769311,1.952148012266782,1.8829367752072559,1.823383941139524,1.7725089624131487,1.7295031181863738,1.6936967072600015,1.6645341309270043,1.6415547978775205,1.6243784119974487,1.6126936201476791,1.6062492829121975,1.6048478340213275,1.608340342161456,1.6166230002815376,1.6296348544287005,1.6473566551733352,1.6698107762996357,1.697062202959656,1.729220649760229,1.7664439332185522,1.8089427983059478,1.8569874923411387,1.9109165003360618,1.9711480161481962,2.0381949397691943,2.1126844844092716,2.19538387504348,2.2872341535011778,2.3893947982725456,2.503302708506685,2.630749968160437,2.7739852817779305,2.935842941709598,3.119897989910875,3.3306311538707165,3.5735513672200208,3.855151470635137,4.182456624498467,4.561823972904213,0.05394022521697598
x=0.12,0.11971220728891936,4.225321858891737,3.879410564479397,3.5825003096349466,3.3274691107573116,3.1075672404429966,2.917087109141839,2.7514185833531077,2.6068877633784324,2.480562743560736,2.3700866809966263,2.2735483068581956,2.1893846562773556,2.1163083043350595,2.053252567551105,1.99932982700892,1.953799526765487,1.916043406900307,1.88554622739296,1.8618807214081299,1.844695855351405,1.8337077158314719,1.8286925215252279,1.8294813913694667,1.835956603320849,1.8480491598013258,1.8657375439412722,1.889047610299067,1.9180536093865566,1.9528804011279248,1.9937069723280296,2.0407714416037672,2.094377816886746,2.1549048711816208,2.2228176282531327,2.298682108271298,2.3831841801838363,2.4771536041192737,2.581594611778853,2.6977246224067226,2.8270228139464892,2.971290006533381,3.1327201286269464,3.3139803682990507,3.518290066684192,3.749474520300662,4.011945708446167,4.310527335661657,4.650010657060083,5.034351995421142,0.06468078163876786
x=0.14,0.1395431146442365,4.705025712559409,4.349416282422972,4.037030190873445,3.763261901067839,3.5232782129302955,3.312602508995007,3.1273390653954016,2.9641978007167413,2.8204349218794222,2.693770240678417,2.5823070913336443,2.484463422423078,2.3989153190817136,2.324551644841407,2.2604378902199707,2.2057874173508942,2.1599385870397443,2.122336563033096,2.092518853424382,2.0701038628483497,2.0547818976585734,2.0463081988085317,2.044497682181354,2.0492211506838904,2.060402812187544,2.078018996908596,2.102098020825273,2.132721191445042,2.170025001557319,2.214204608259002,2.2655187511631723,2.3242963278248863,2.390944918237063,2.4659616350209292,2.5499467706568404,2.643620811839504,2.7478454777780104,2.8636494782990005,2.9922596063707383,3.1351374392672278,3.2940210710971667,3.4709695067735136,3.668403940361841,3.8891342134723024,4.136349467768368,4.413539689154483,4.724303624002135,5.072001108244395,5.459249439826065,0.07539546661030316
x=0.16,0.15931820661424598,5.138024546595693,4.776055441839028,4.452783338617788,4.165095509721038,3.9094910428167062,3.6824999877653175,3.480916287682591,3.3018930397219526,3.142957252974283,3.0019854824771888,2.8771645796196776,2.766949890238512,2.6700263736494976,2.5852745977265745,2.511741923661511,2.448618510425002,2.395217541042332,2.35095904732698,2.315356765753331,2.288007539593075,2.2685828675852973,2.2568222780862097,2.2525282772191138,2.25556268021798,2.265844188268849,2.283347120427957,2.3081012534207908,2.340192763013952,2.379766300772291,2.42702828072934,2.4822514928374693,2.54578120446188,2.6180429569877366,2.699552309166321,2.7909268158457103,2.892900547486556,3.006341428499059,3.132271558437888,3.2718904068593524,3.426600221766704,3.5980319810985195,3.7880684915954044,3.9988584985424342,4.23281169502815,4.492559527077301,4.780862074269704,5.100440798897158,5.453727748335373,5.8425528786811745,0.08607999440045382
x=0.18,0.17902957342582418,5.530034827235686,5.16383866850005,4.832777632579966,4.53465559851552,4.266884800635865,4.026769031265989,3.8116966458892274,3.619249168459866,3.447248782324646,3.2937680414134958,3.157119122199867,3.03583365471461,2.9286394832943787,2.8344377012648048,2.752281541847603,2.6813577403375977,2.620970482951944,2.5705278193449765,2.5295303178209303,2.4975617171400475,2.47428133973309,2.4594180585969534,2.4527656440692995,2.4541793521153146,2.463573650488682,2.480921012381247,2.506251738910108,2.53965480227961,2.5812797310129025,2.6313395873988887,2.6901151149178277,2.757960158732356,2.835308482778122,2.9226821176183946,3.020701365272185,3.1300965458528265,3.2517214719034118,3.3865684418775257,3.5357841974020188,3.700685709546986,3.8827737449367765,4.08374080601497,4.30546818353862,4.5500046203456606,4.81951698949797,5.11620271827815,5.442156785599048,5.799196129601581,6.188663254830039,0.09673009134056224
x=0.20,0.19866933079506122,5.8852785442429685,5.516312193417295,5.179642767350831,4.8736587914424865,4.596402450176603,4.345758279347941,4.119600447627319,3.915891420943007,3.7327388517612436,3.5684220469556474,3.4213986830368293,3.2902999194004594,3.1739194565901556,3.0712000282932235,2.9812193833469,2.9031768902266646,2.8363813314733606,2.7802401249547573,2.7342500245205286,2.6979892566608616,2.671111005990486,2.65333814869012,2.644459136270534,2.644324944438281,2.65284701895973,2.6699961696914705,2.695802383915957,2.7303555498970207,2.773807100438052,2.826372603340326,2.888335339715382,2.960050919937065,3.0419529870494917,3.1345600429188125,3.2384833943200886,3.3544361408106167,3.4832429936136977,3.6258504967468697,3.7833368814635135,3.95692027951217,4.147963309555747,4.357971120758022,4.5885788889843955,4.841523731973817,5.118595529012864,5.421562060750052,5.75206741808124,6.111509825582993,6.500915612811999,0.1073414975338518
x=0.22,0.21822962308086932,6.20698350122817,5.8362986367677285,5.495616792810311,5.1837132704889735,4.8990715183860996,4.640009540333043,4.4047886599013335,4.19169540176709,3.999096425658329,3.8254710821293476,3.6694274403989846,3.5297071368341206,3.4051832420067067,3.29485415372206,3.197835537650384,3.1133516066673637,3.040726523961257,2.9793763804799993,2.928801984415993,2.8885825698932455,2.8583704555867855,2.83788664234259,2.826917319149944,2.8253112406874332,2.832977941719935,2.8498867603688853,2.876066651379874,2.911606780286946,2.9566578983979914,3.0114345053087077,3.0762178083142784,3.151359484004379,3.2372862326988536,3.334505085703564,3.4436093708030038,3.565285152142722,3.7003178224258133,3.8495983206181195,4.014128158062869,4.195022044385585,4.3935064102127175,4.610911558631254,4.848654638737718,5.1082103266823236,5.39106637123471,5.698662500483713,6.03231409672054,6.3931267023885185,6.781913080391719,0.11790996855932871
x=0.24,0.23770262642713458,6.497684728329992,6.126076400988349,5.782591417923766,5.4662695689524385,5.175909165087594,4.910152919800611,4.667567436253701,4.446708369935213,4.246168838027147,4.0646122128453595,3.900792113702708,3.7535627926973407,3.621882803163849,3.5048142720997872,3.4015195083144047,3.311256171561788,3.2333718337522113,3.1672984748848974,3.1125472541957335,3.068703760140913,3.0354238530813413,3.012430157727026,2.9995092280944737,2.996509388453542,3.003339244233099,3.0199668534051245,3.04641954878295,3.0827844028680365,3.1292093275532364,3.185904799321392,3.2531461944689357,3.331276705684705,3.420710787532125,3.5219380393908724,3.6355273742005174,3.762131232426169,3.9024894743714995,4.057432411558628,4.227882213133489,4.41485164739142,4.619438808866596,4.842816184314901,5.086212218204169,5.350883602602826,5.638077052023582,5.948980569958158,6.284666326873875,6.646030125386424,7.033735381176569,0.12843127716949382
x=0.25,0.2570805518921551,6.759416466608806,6.3875097427466425,6.042166499105884,5.722612775379308,5.427875869844501,5.156843724434555,4.908323065278751,4.681090275276761,4.473932141543483,4.28567607216248,4.115210856569449,3.9614996999052274,3.8235873715462882,3.700603125180358,3.5917607492078822,3.4963567945717084,3.4137677514272617,3.343446723065252,3.2849199750991844,3.2377836128785265,3.2017005511768155,3.1763978787053904,3.1616646785773592,3.1573503386839348,3.1633633685871856,3.179670728580279,3.2062976693801235,3.243328075346747,3.290905298263788,3.3492334606902308,3.418579195663944,3.499273770714468,3.591715515833854,3.6963724337600175,3.813784812549767,3.944567580500734,4.08941203785989,4.249086465918046,4.424434953609714,4.616373604214399,4.825883113485831,5.053996589542894,5.30178148540876,5.570314737186167,5.860650761441904,6.173782961804535,6.510600834358909,6.871846463473305,7.258075714411124,0.13890121498118538
x=0.27,0.27635564856411376,6.993840106970497,6.622143194968105,6.27570041396838,5.953872380774164,5.65585600191107,5.38072631324492,5.127479297264462,4.895071322754976,4.682452635880124,4.488593925924794,4.312506123857105,4.153254245035855,4.009966360450422,3.8818388056625626,3.7681386263559222,3.6682040934478484,3.581443946804113,3.5073358691371728,3.4454245602704923,3.3953196779298467,3.3566938318823696,3.329280759392996,3.3128737672308497,3.3073244948690506,3.3125420317115104,3.328492405362561,3.355198445817727,3.39274002001952,3.4412546207032357,3.500938281119486,3.572046771258478,3.6548970096463456,3.7498685954484805,3.857405326115817,3.9780165137264505,4.112277846424637,4.260831458923923,4.424384779195423,4.603707612664716,4.799626822760951,5.013017889750815,5.244792613649756,5.4958823208207805,5.767216196862206,6.059694856527693,6.374160000802377,6.7113619580583705,7.071927904183405,7.456334320329415,0.14931559415887594
x=0.29,0.29552020666133955,7.202332658271454,6.831270870301901,6.484352798707783,6.161038519797091,5.86065271473773,5.582414702012132,5.325470286714044,5.088922338301765,4.871858002061997,4.6733714556815205,4.492581934659202,4.328647298978555,4.18077371788536,4.0482221687876,3.9303124449962055,3.8264252990762144,3.7360032520232633,3.6585504969527243,3.593632232277874,3.5408736790564395,3.499958971608936,3.4706300586832617,3.4526857123580474,3.4459807112304253,3.4504252409591314,3.4659845368633024,3.4926787781657067,3.530583229958144,3.5798286155240477,3.6406016868050997,3.7131459430742173,3.7977624257788793,3.894810489539339,4.004708414003912,4.127933677555607,4.265022661299941,4.4165694912402484,4.583223661234802,4.7656860159458985,4.964702623302666,5.181056048246227,5.4155535790495835,5.669012085373571,5.942239435122579,6.23601278677524,6.551054600014661,6.888007817750107,7.247412251899467,7.629684580584199,0.15967024908975094
